,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
762,"Then, Justin and Jennifer went to the station. Justin gave a bone to","Then, Justin and Jennifer went to the station. Nathan gave a bone to","Then, Justin and Jennifer went to the station. Jennifer gave a bone to",16348,10799
447,"After Jason and Michelle went to the office, Michelle gave a computer to","After Jason and Michelle went to the office, Richard gave a computer to","After Jason and Michelle went to the office, Jason gave a computer to",8982,16738
551,"Then, Melissa and Crystal were working at the restaurant. Melissa decided to give a ring to","Then, Melissa and Crystal were working at the restaurant. Amber decided to give a ring to","Then, Melissa and Crystal were working at the restaurant. Crystal decided to give a ring to",12969,24164
320,"Then, Jeffrey and Matthew were thinking about going to the hospital. Jeffrey wanted to give a snack to","Then, Jeffrey and Matthew were thinking about going to the hospital. Gregory wanted to give a snack to","Then, Jeffrey and Matthew were thinking about going to the hospital. Matthew wanted to give a snack to",9308,19627
446,"Then, Melissa and Joshua had a lot of fun at the school. Joshua gave a snack to","Then, Melissa and Joshua had a lot of fun at the school. Steven gave a snack to","Then, Melissa and Joshua had a lot of fun at the school. Melissa gave a snack to",24164,20700
919,"Then, Lindsay and Erica went to the station. Erica gave a bone to","Then, Lindsay and Erica went to the station. Brandon gave a bone to","Then, Lindsay and Erica went to the station. Lindsay gave a bone to",33127,45187
531,"Then, Matthew and Bryan went to the restaurant. Matthew gave a ring to","Then, Matthew and Bryan went to the restaurant. Travis gave a ring to","Then, Matthew and Bryan went to the restaurant. Bryan gave a ring to",17857,9308
375,"Then, Amanda and Kristen went to the restaurant. Kristen gave a bone to","Then, Amanda and Kristen went to the restaurant. Lauren gave a bone to","Then, Amanda and Kristen went to the restaurant. Amanda gave a bone to",23040,44467
393,"Then, Melissa and Stephanie went to the store. Melissa gave a bone to","Then, Melissa and Stephanie went to the store. Jose gave a bone to","Then, Melissa and Stephanie went to the store. Stephanie gave a bone to",26085,24164
455,"After Andrea and Richard went to the station, Andrea gave a ring to","After Andrea and Richard went to the station, Charles gave a ring to","After Andrea and Richard went to the station, Richard gave a ring to",6219,23174
339,"After Elizabeth and Amy went to the school, Amy gave a computer to","After Elizabeth and Amy went to the school, Andrea gave a computer to","After Elizabeth and Amy went to the school, Elizabeth gave a computer to",10674,14235
911,"Then, Erica and Elizabeth were thinking about going to the restaurant. Elizabeth wanted to give a drink to","Then, Erica and Elizabeth were thinking about going to the restaurant. Amy wanted to give a drink to","Then, Erica and Elizabeth were thinking about going to the restaurant. Erica wanted to give a drink to",45187,10674
