,clean,corrupted,correct_idx,incorrect_idx
874,"Then, Eric and Nathan were working at the hospital. Nathan decided to give a ring to","Then, Kelly and Lindsay were working at the hospital. Joshua decided to give a ring to",16247,62784
482,"Then, Lindsey and Amanda had a long argument, and afterwards Amanda said to","Then, Tiffany and Erica had a long argument, and afterwards Kevin said to",64279,91835
654,"Then, Aaron and Mary were thinking about going to the restaurant. Mary wanted to give a ring to","Then, Nicole and James were thinking about going to the restaurant. Andrew wanted to give a ring to",25673,7801
244,"After Richard and Laura went to the office, Richard gave a snack to","After Kyle and Patrick went to the office, Courtney gave a snack to",29828,30259
138,"Then, Kevin and Nicole had a lot of fun at the store. Kevin gave a kiss to","Then, Jonathan and Patrick had a lot of fun at the store. Bryan gave a kiss to",44030,23269
172,"After Kelly and Danielle went to the hospital, Kelly gave a drink to","After Emily and Anthony went to the hospital, Katie gave a drink to",71616,34166
625,"Then, Nicholas and Heather had a long argument, and afterwards Heather said to","Then, Ashley and Amy had a long argument, and afterwards Joshua said to",39696,28693
463,"After Emily and Patrick went to the house, Emily gave a computer to","After Jessica and Charles went to the house, Erin gave a computer to",19626,32367
631,"Then, John and Lindsey had a lot of fun at the restaurant. John gave a necklace to","Then, Jessica and Stephanie had a lot of fun at the restaurant. Patrick gave a necklace to",64279,32367
191,"Then, David and Christine were thinking about going to the restaurant. Christine wanted to give a ring to","Then, Bradley and Mark were thinking about going to the restaurant. Aaron wanted to give a ring to",6798,4389
413,"Then, Bradley and Nicole had a lot of fun at the garden. Bradley gave a kiss to","Then, Christina and Paul had a lot of fun at the garden. Kenneth gave a kiss to",44030,59671
864,"Then, Katherine and Kyle were thinking about going to the hospital. Kyle wanted to give a ring to","Then, Tiffany and Sarah were thinking about going to the hospital. Samuel wanted to give a ring to",61326,20445
158,"After Angela and Dustin went to the store, Angela gave a drink to","After Kristen and Jonathan went to the store, Crystal gave a drink to",78318,76114
610,"Then, Richard and Allison went to the restaurant. Allison gave a necklace to","Then, Adam and Robert went to the restaurant. Samuel gave a necklace to",11867,8397
266,"Then, Jeffrey and Nicholas were thinking about going to the station. Jeffrey wanted to give a drink to","Then, Stephanie and Tiffany were thinking about going to the station. Jamie wanted to give a drink to",39696,48143
887,"Then, Travis and Bryan went to the station. Travis gave a basketball to","Then, Adam and Andrew went to the station. Ryan gave a basketball to",36353,15037
370,"After Scott and Sarah went to the house, Scott gave a basketball to","After Patrick and Amber went to the house, Jennifer gave a basketball to",20445,19626
900,"Then, Brittany and Kelly were thinking about going to the station. Kelly wanted to give a bone to","Then, Stephanie and Lisa were thinking about going to the station. Richard wanted to give a bone to",88154,28556
102,"After Bradley and Justin went to the store, Bradley gave a necklace to","After Thomas and Vanessa went to the store, Megan gave a necklace to",22467,11108
435,"After Elizabeth and Nicole went to the station, Nicole gave a bone to","After Lauren and Benjamin went to the station, Justin gave a bone to",20731,29311
618,"Then, Crystal and Scott had a long argument, and afterwards Scott said to","Then, Heather and Jennifer had a long argument, and afterwards Justin said to",27916,29650
452,"Then, Shannon and Bryan had a long argument, and afterwards Shannon said to","Then, Thomas and Kimberly had a long argument, and afterwards Lindsey said to",36353,11108
641,"Then, Jeremy and Matthew were working at the office. Matthew decided to give a bone to","Then, Ashley and Katherine were working at the office. John decided to give a bone to",27118,61326
909,"Then, Rebecca and Laura went to the garden. Laura gave a bone to","Then, Courtney and Lindsay went to the garden. Richard gave a bone to",44457,62784
565,"Then, Aaron and Allison were thinking about going to the restaurant. Aaron wanted to give a necklace to","Then, Alexander and Danielle were thinking about going to the restaurant. Nathan wanted to give a necklace to",62408,20042
259,"After Joshua and Courtney went to the office, Courtney gave a ring to","After Adam and Lindsay went to the office, Daniel gave a ring to",39492,62784
171,"Then, Amy and Kelly were thinking about going to the station. Amy wanted to give a computer to","Then, Paul and Brandon were thinking about going to the station. Kelly wanted to give a computer to",18661,6898
298,"Then, Cody and Andrea went to the station. Cody gave a ring to","Then, Rachel and Gregory went to the station. Jennifer gave a ring to",40084,31432
807,"Then, Alicia and Jacob had a lot of fun at the office. Jacob gave a computer to","Then, Nicholas and Erica had a lot of fun at the office. Anthony gave a computer to",78902,91835
122,"After Rachel and Sean went to the garden, Sean gave a ring to","After Adam and Crystal went to the garden, Sarah gave a ring to",31432,27916
601,"After Katherine and Ashley went to the office, Katherine gave a ring to","After Kevin and Brittany went to the office, Lindsey gave a ring to",37118,16364
152,"Then, Mark and Alexander were working at the store. Mark decided to give a snack to","Then, Courtney and Adam were working at the store. Stephanie decided to give a snack to",20042,70682
687,"When Amy and Brian got a computer at the station, Amy decided to give it to","When Lindsey and John got a computer at the station, Erin decided to give it to",17083,64279
928,"Then, Kimberly and Katherine had a lot of fun at the garden. Katherine gave a snack to","Then, Kelly and Dustin had a lot of fun at the garden. Brian gave a snack to",85653,78318
872,"Then, Crystal and Christina were working at the store. Christina decided to give a kiss to","Then, Lindsey and Adam were working at the store. Nathan decided to give a kiss to",27916,15037
677,"After Anthony and Heather went to the office, Heather gave a drink to","After Amber and Brittany went to the office, Kevin gave a drink to",20696,88154
70,"Then, Eric and Lindsay were working at the store. Eric decided to give a computer to","Then, Allison and Megan were working at the store. Emily decided to give a computer to",62784,62408
23,"Then, Paul and Joseph were thinking about going to the restaurant. Joseph wanted to give a drink to","Then, Laura and Danielle were thinking about going to the restaurant. Jason wanted to give a drink to",6898,71616
958,"After Jennifer and Christina went to the office, Jennifer gave a basketball to","After Jonathan and Amber went to the office, Jason gave a basketball to",59671,23269
385,"Then, Andrew and Nicholas had a long argument, and afterwards Andrew said to","Then, Nathan and Michael had a long argument, and afterwards Katie said to",39696,36737
123,"Then, Aaron and Erica had a lot of fun at the garden. Aaron gave a bone to","Then, Daniel and Lindsay had a lot of fun at the garden. Samuel gave a bone to",91835,15118
234,"Then, Kristen and Nicholas were thinking about going to the garden. Kristen wanted to give a drink to","Then, Alicia and Elizabeth were thinking about going to the garden. Bryan wanted to give a drink to",39696,78902
495,"Then, Jamie and Kenneth were thinking about going to the garden. Jamie wanted to give a snack to","Then, Matthew and Lauren were thinking about going to the garden. Jamie wanted to give a snack to",48398,18939
268,"Then, Robert and Elizabeth had a lot of fun at the house. Elizabeth gave a bone to","Then, Brian and Steven had a lot of fun at the house. Samantha gave a bone to",8397,23644
448,"After Jesse and Kristen went to the station, Jesse gave a computer to","After Kimberly and Sarah went to the station, Stephen gave a computer to",76114,85653
283,"Then, Andrea and Angela went to the restaurant. Angela gave a kiss to","Then, Samuel and Jennifer went to the restaurant. Matthew gave a kiss to",40084,29650
329,"Then, Mary and Samantha were thinking about going to the house. Samantha wanted to give a drink to","Then, Amy and Sean were thinking about going to the house. Nicole wanted to give a drink to",10244,24995
342,"Then, Christine and Angela had a lot of fun at the house. Angela gave a basketball to","Then, William and Brandon had a lot of fun at the house. Alicia gave a basketball to",45893,31766
991,"Then, Jonathan and Brian had a long argument, and afterwards Brian said to","Then, Matthew and Laura had a long argument, and afterwards Eric said to",23269,29828
886,"Then, Christine and Michael had a lot of fun at the restaurant. Christine gave a basketball to","Then, Alicia and Andrew had a lot of fun at the restaurant. Jessica gave a basketball to",7937,78902
957,"Then, Timothy and Jamie were thinking about going to the station. Timothy wanted to give a kiss to","Then, Matthew and Elizabeth were thinking about going to the station. Samuel wanted to give a kiss to",35757,18939
407,"After Brittany and Bryan went to the store, Bryan gave a ring to","After Timothy and Jonathan went to the store, Steven gave a ring to",88154,23269
763,"Then, Jacob and Joseph went to the garden. Joseph gave a basketball to","Then, Anthony and Nicole went to the garden. Samuel gave a basketball to",24521,44030
968,"Then, Matthew and Erin were thinking about going to the restaurant. Matthew wanted to give a kiss to","Then, Lisa and David were thinking about going to the restaurant. Samuel wanted to give a kiss to",55814,28556
254,"Then, Travis and Matthew had a lot of fun at the house. Matthew gave a kiss to","Then, Heather and James had a lot of fun at the house. Thomas gave a kiss to",40710,7801
212,"When Crystal and Allison got a basketball at the restaurant, Crystal decided to give it to","When Elizabeth and Richard got a basketball at the restaurant, Alicia decided to give it to",62408,20731
722,"Then, Cody and Jeremy were thinking about going to the restaurant. Jeremy wanted to give a kiss to","Then, Amanda and Courtney were thinking about going to the restaurant. Nicole wanted to give a kiss to",57282,70682
345,"Then, Lauren and Jacob were working at the hospital. Jacob decided to give a drink to","Then, Courtney and Benjamin were working at the hospital. Erin decided to give a drink to",42360,29311
460,"Then, Jose and Gregory were working at the school. Gregory decided to give a basketball to","Then, Jesse and Amanda were working at the school. Katie decided to give a basketball to",10860,41759
584,"Then, Brian and Richard had a lot of fun at the hospital. Richard gave a bone to","Then, Sean and Sara had a lot of fun at the hospital. Brittany gave a bone to",17083,42920
715,"When Jeffrey and Benjamin got a computer at the hospital, Jeffrey decided to give it to","When Brandon and Joseph got a computer at the hospital, William decided to give it to",29311,31766
556,"Then, Robert and Jessica went to the restaurant. Jessica gave a bone to","Then, Steven and Rebecca went to the restaurant. Shannon gave a bone to",8397,44457
3,"Then, Sarah and Alexander had a long argument, and afterwards Alexander said to","Then, Benjamin and Joshua had a long argument, and afterwards Sarah said to",20445,39492
365,"Then, Mary and Lindsey were thinking about going to the office. Mary wanted to give a basketball to","Then, Tyler and Nathan were thinking about going to the office. Adam wanted to give a basketball to",64279,31220
400,"Then, Gregory and Mary were thinking about going to the school. Gregory wanted to give a ring to","Then, Travis and Erin were thinking about going to the school. Mark wanted to give a ring to",10244,40710
925,"After Melissa and Katie went to the station, Katie gave a bone to","After Cody and Matthew went to the station, Jessica gave a bone to",47048,18939
469,"Then, Vanessa and Bryan went to the station. Bryan gave a kiss to","Then, Heather and Laura went to the station. David gave a kiss to",70519,29828
423,"When Tiffany and Amy got a kiss at the restaurant, Tiffany decided to give it to","When Kenneth and Crystal got a kiss at the restaurant, Christine decided to give it to",28693,48398
983,"Then, Kevin and Laura had a lot of fun at the house. Laura gave a basketball to","Then, Ryan and Joshua had a lot of fun at the house. Steven gave a basketball to",16364,39492
541,"Then, Mark and Emily had a long argument, and afterwards Emily said to","Then, Jamie and Sarah had a long argument, and afterwards Jonathan said to",4389,20445
272,"Then, Eric and Megan were thinking about going to the house. Eric wanted to give a drink to","Then, Steven and Ashley were thinking about going to the house. James wanted to give a drink to",54529,23644
294,"Then, Danielle and Robert were thinking about going to the station. Robert wanted to give a computer to","Then, Lisa and Nathan were thinking about going to the station. Jennifer wanted to give a computer to",71616,36737
897,"Then, Mark and Gregory went to the store. Mark gave a drink to","Then, Lindsay and John went to the store. Justin gave a drink to",42969,62784
917,"After Travis and Bryan went to the school, Travis gave a basketball to","After Erin and Eric went to the school, Alicia gave a basketball to",36353,55814
428,"Then, James and Jacob went to the school. James gave a drink to","Then, Amber and Thomas went to the school. Andrew gave a drink to",24521,46664
427,"After Paul and Kimberly went to the restaurant, Paul gave a kiss to","After Alicia and Adam went to the restaurant, Nathan gave a kiss to",85653,78902
38,"Then, Sarah and Mary were working at the house. Sarah decided to give a kiss to","Then, Rachel and Amanda were working at the house. Lauren decided to give a kiss to",10244,31432
356,"After Erica and Kelly went to the garden, Kelly gave a necklace to","After Lindsey and Joseph went to the garden, Nathan gave a necklace to",91835,15115
124,"Then, Erin and Stephanie were working at the office. Erin decided to give a computer to","Then, Kenneth and Christina were working at the office. Michelle decided to give a computer to",48143,48398
39,"After Melissa and Brian went to the restaurant, Brian gave a bone to","After Sara and Courtney went to the restaurant, Rebecca gave a bone to",47048,70682
64,"Then, Katie and Daniel were working at the restaurant. Daniel decided to give a snack to","Then, Daniel and Brandon were working at the restaurant. Crystal decided to give a snack to",44463,31766
233,"When Michael and Jose got a necklace at the restaurant, Michael decided to give it to","When Joshua and Christine got a necklace at the restaurant, Nicholas decided to give it to",10860,39492
749,"When Richard and Joseph got a necklace at the restaurant, Richard decided to give it to","When Stephanie and Erica got a necklace at the restaurant, Richard decided to give it to",15115,48143
645,"Then, Patrick and Jose were working at the hospital. Jose decided to give a basketball to","Then, Elizabeth and Lindsey were working at the hospital. Amber decided to give a basketball to",19626,64279
756,"After Alicia and Jesse went to the office, Jesse gave a kiss to","After Courtney and Sarah went to the office, Steven gave a kiss to",78902,20445
576,"Then, Crystal and Dustin were working at the school. Crystal decided to give a computer to","Then, Michelle and Emily were working at the school. Danielle decided to give a computer to",78318,32026
731,"When Amy and Sean got a drink at the restaurant, Sean decided to give it to","When Erin and Amanda got a drink at the restaurant, William decided to give it to",28693,41759
581,"Then, Cody and Travis had a lot of fun at the school. Cody gave a drink to","Then, Cody and Charles had a lot of fun at the school. Jonathan gave a drink to",40710,57282
963,"Then, Jeremy and Andrea were thinking about going to the garden. Jeremy wanted to give a drink to","Then, Kyle and Daniel were thinking about going to the garden. Lauren wanted to give a drink to",40084,30259
290,"When Lisa and Tyler got a bone at the station, Lisa decided to give it to","When Lindsey and Melissa got a bone at the station, Amanda decided to give it to",31220,64279
577,"When Crystal and Robert got a ring at the restaurant, Crystal decided to give it to","When Kristen and Joshua got a ring at the restaurant, Matthew decided to give it to",8397,76114
568,"Then, Scott and Ryan had a long argument, and afterwards Scott said to","Then, Adam and Aaron had a long argument, and afterwards Cody said to",13646,15037
140,"Then, Nathan and Thomas went to the station. Thomas gave a ring to","Then, Crystal and Benjamin went to the station. Erin gave a ring to",36737,29311
196,"Then, Vanessa and Jeffrey had a lot of fun at the station. Vanessa gave a necklace to","Then, Eric and Alicia had a lot of fun at the station. Lauren gave a necklace to",41007,16247
637,"Then, Angela and Stephen had a long argument, and afterwards Angela said to","Then, Rachel and Melissa had a long argument, and afterwards Richard said to",18095,31432
24,"Then, Travis and Lindsay had a lot of fun at the station. Lindsay gave a bone to","Then, Brittany and Alicia had a lot of fun at the station. Adam gave a bone to",40710,78902
93,"Then, Lisa and Jessica were working at the store. Lisa decided to give a computer to","Then, Jeremy and James were working at the store. Cody decided to give a computer to",32367,27118
379,"Then, Laura and Katie were thinking about going to the house. Laura wanted to give a basketball to","Then, Erin and Michelle were thinking about going to the house. Eric wanted to give a basketball to",44463,55814
256,"After Rebecca and Jeffrey went to the school, Jeffrey gave a ring to","After Lauren and Aaron went to the school, Lindsay gave a ring to",44457,25673
53,"When David and Jonathan got a bone at the office, Jonathan decided to give it to","When Melissa and Sarah got a bone at the office, Shannon decided to give it to",6798,20445
561,"Then, Brandon and Jeremy had a lot of fun at the garden. Brandon gave a computer to","Then, Katie and Robert had a lot of fun at the garden. Joshua gave a computer to",27118,44463
411,"Then, Courtney and Kristen had a lot of fun at the store. Kristen gave a bone to","Then, Samuel and Lisa had a lot of fun at the store. Tyler gave a bone to",70682,28556
655,"When Sean and William got a computer at the office, William decided to give it to","When Benjamin and John got a computer at the office, Paul decided to give it to",24995,3757
884,"When Angela and Adam got a drink at the hospital, Angela decided to give it to","When Kimberly and Andrew got a drink at the hospital, Daniel decided to give it to",15037,85653
996,"Then, Bryan and Lauren had a long argument, and afterwards Lauren said to","Then, Michael and Ashley had a long argument, and afterwards Lindsay said to",36353,37118
464,"Then, Andrea and Steven had a lot of fun at the office. Steven gave a snack to","Then, Sara and Katherine had a lot of fun at the office. Rachel gave a snack to",40084,61326
371,"Then, Eric and Adam went to the hospital. Adam gave a necklace to","Then, Kelly and Ryan went to the hospital. Matthew gave a necklace to",16247,13646
299,"Then, Amber and Lauren had a long argument, and afterwards Amber said to","Then, Andrea and Heather had a long argument, and afterwards Joseph said to",42360,40084
567,"When Joseph and Dustin got a drink at the restaurant, Dustin decided to give it to","When Stephen and Timothy got a drink at the restaurant, Rebecca decided to give it to",15115,44468
310,"When Jamie and Benjamin got a necklace at the office, Benjamin decided to give it to","When Andrea and Crystal got a necklace at the office, Katherine decided to give it to",35757,27916
724,"Then, Crystal and Katie were working at the school. Crystal decided to give a snack to","Then, Cody and Paul were working at the school. Ryan decided to give a snack to",44463,57282
478,"Then, Jose and Katherine had a long argument, and afterwards Jose said to","Then, Jacob and Joseph had a long argument, and afterwards Andrea said to",61326,24521
209,"Then, John and Shannon had a lot of fun at the restaurant. Shannon gave a drink to","Then, Steven and Dustin had a lot of fun at the restaurant. Tiffany gave a drink to",3757,78318
175,"Then, Paul and Christina went to the school. Paul gave a bone to","Then, Sara and Jeffrey went to the school. Michael gave a bone to",59671,42920
439,"After Rachel and Lindsey went to the station, Rachel gave a drink to","After Lindsay and Danielle went to the station, John gave a drink to",64279,62784
643,"When Kenneth and Lisa got a basketball at the station, Kenneth decided to give it to","When Brandon and Stephanie got a basketball at the station, Joseph decided to give it to",28556,31766
700,"Then, Eric and Angela had a lot of fun at the school. Eric gave a snack to","Then, Jamie and Samantha had a lot of fun at the school. Alicia gave a snack to",37143,35757
639,"After Samuel and Brian went to the hospital, Samuel gave a necklace to","After Jacob and Sarah went to the hospital, Amber gave a necklace to",17083,24521
513,"Then, Lisa and Tyler were thinking about going to the station. Tyler wanted to give a ring to","Then, Stephen and Jeffrey were thinking about going to the station. Richard wanted to give a ring to",28556,41007
923,"Then, Daniel and Paul went to the restaurant. Daniel gave a basketball to","Then, Benjamin and Lisa went to the restaurant. Katie gave a basketball to",6898,29311
746,"Then, Benjamin and Lisa were thinking about going to the store. Lisa wanted to give a computer to","Then, Samantha and Vanessa were thinking about going to the store. Jesse wanted to give a computer to",29311,70519
614,"Then, Anthony and Amber had a long argument, and afterwards Amber said to","Then, Eric and William had a long argument, and afterwards Jeffrey said to",20696,12375
362,"Then, Paul and Michael were thinking about going to the restaurant. Michael wanted to give a basketball to","Then, Adam and Charles were thinking about going to the restaurant. Bryan wanted to give a basketball to",6898,14927
314,"Then, David and Danielle had a lot of fun at the station. Danielle gave a computer to","Then, Adam and William had a lot of fun at the station. Charles gave a computer to",6798,12375
397,"Then, Jeremy and Kyle were thinking about going to the school. Jeremy wanted to give a necklace to","Then, Crystal and Lisa were thinking about going to the school. Sara wanted to give a necklace to",30259,27916
153,"Then, Amanda and Lindsey had a lot of fun at the station. Lindsey gave a snack to","Then, Mark and Heather had a lot of fun at the station. Bradley gave a snack to",41759,46263
626,"When Laura and Jeffrey got a computer at the office, Laura decided to give it to","When Andrea and Ryan got a computer at the office, Erica decided to give it to",41007,40084
120,"Then, Elizabeth and Jessica went to the garden. Elizabeth gave a bone to","Then, Ryan and William went to the garden. Steven gave a bone to",32367,13646
859,"Then, Kevin and Nicole were working at the garden. Nicole decided to give a bone to","Then, Lindsay and Aaron were working at the garden. Michelle decided to give a bone to",16364,25673
870,"Then, Andrea and Katie were thinking about going to the office. Andrea wanted to give a kiss to","Then, Amy and Laura were thinking about going to the office. Sarah wanted to give a kiss to",44463,28693
341,"When Patrick and Alicia got a ring at the garden, Alicia decided to give it to","When Lindsey and Ryan got a ring at the garden, Erica decided to give it to",19626,13646
347,"Then, Stephen and Christina had a long argument, and afterwards Christina said to","Then, Kevin and Courtney had a long argument, and afterwards Shannon said to",18095,70682
978,"Then, Angela and James went to the school. James gave a snack to","Then, Rebecca and Katie went to the school. Kevin gave a snack to",37143,44463
868,"Then, Christina and Jason had a long argument, and afterwards Christina said to","Then, Kelly and Amanda had a long argument, and afterwards Scott said to",18477,18661
301,"Then, Bradley and Erica had a lot of fun at the station. Erica gave a kiss to","Then, Christina and Lisa had a lot of fun at the station. Jamie gave a kiss to",36448,28556
83,"When Amanda and Sarah got a basketball at the house, Sarah decided to give it to","When Joseph and Lisa got a basketball at the house, Jonathan decided to give it to",41759,28556
527,"Then, Shannon and Jessica went to the hospital. Shannon gave a bone to","Then, Timothy and Joshua went to the hospital. David gave a bone to",32367,44468
688,"When Mary and Kenneth got a drink at the house, Mary decided to give it to","When Kyle and Rachel got a drink at the house, Kelly decided to give it to",48398,30259
151,"When Christopher and Laura got a ring at the school, Laura decided to give it to","When Melissa and Brandon got a ring at the school, Rachel decided to give it to",24986,31766
96,"Then, Rachel and Kimberly went to the office. Kimberly gave a drink to","Then, Lindsay and Anthony went to the office. Cody gave a drink to",31432,20696
602,"Then, Daniel and Courtney were working at the store. Courtney decided to give a bone to","Then, Katherine and Scott were working at the store. Amanda decided to give a bone to",15118,9815
825,"Then, Kristen and Joshua were working at the school. Joshua decided to give a basketball to","Then, Nicholas and Kyle were working at the school. Brian decided to give a basketball to",76114,30259
557,"Then, Samantha and Thomas had a long argument, and afterwards Samantha said to","Then, Crystal and Courtney had a long argument, and afterwards Kelly said to",11108,27916
170,"Then, Timothy and James had a long argument, and afterwards James said to","Then, Jeffrey and Katherine had a long argument, and afterwards Emily said to",44468,61326
961,"Then, Nicole and Stephen had a long argument, and afterwards Nicole said to","Then, Rebecca and Lauren had a long argument, and afterwards Gregory said to",18095,44457
934,"After Brittany and Christopher went to the store, Christopher gave a basketball to","After Emily and Jennifer went to the store, Jamie gave a basketball to",88154,29650
518,"Then, Courtney and Mary were thinking about going to the hospital. Courtney wanted to give a computer to","Then, Nathan and Tyler were thinking about going to the hospital. Lisa wanted to give a computer to",10244,36737
343,"Then, Amanda and Matthew were working at the house. Matthew decided to give a bone to","Then, James and Erin were working at the house. Justin decided to give a bone to",41759,55814
30,"Then, Benjamin and Thomas were thinking about going to the house. Thomas wanted to give a bone to","Then, Gregory and Mark were thinking about going to the house. Jessica wanted to give a bone to",29311,4389
771,"Then, Nathan and Amy went to the store. Amy gave a snack to","Then, Brittany and Jonathan went to the store. Aaron gave a snack to",36737,23269
6,"Then, Jeffrey and Kenneth had a lot of fun at the store. Kenneth gave a bone to","Then, Andrew and Jose had a lot of fun at the store. Jennifer gave a bone to",41007,10860
364,"Then, Charles and Jason were thinking about going to the office. Charles wanted to give a ring to","Then, Michelle and Jennifer were thinking about going to the office. Shannon wanted to give a ring to",18477,32026
877,"Then, Courtney and Michelle had a lot of fun at the school. Michelle gave a kiss to","Then, Amanda and Dustin had a lot of fun at the school. Paul gave a kiss to",70682,78318
965,"Then, David and Jennifer were thinking about going to the school. David wanted to give a computer to","Then, Elizabeth and Sarah were thinking about going to the school. Dustin wanted to give a computer to",29650,20731
348,"Then, Rebecca and Travis went to the garden. Travis gave a kiss to","Then, Samuel and Crystal went to the garden. Aaron gave a kiss to",44457,27916
307,"Then, Christopher and Andrew had a lot of fun at the office. Christopher gave a computer to","Then, Jamie and Shannon had a lot of fun at the office. Heather gave a computer to",13615,35757
54,"Then, Erin and Steven were thinking about going to the office. Steven wanted to give a necklace to","Then, James and Timothy were thinking about going to the office. Anthony wanted to give a necklace to",55814,44468
279,"Then, Amber and John were working at the office. Amber decided to give a kiss to","Then, Eric and Travis were working at the office. Aaron decided to give a kiss to",3757,16247
92,"Then, Dustin and Mark were working at the house. Dustin decided to give a drink to","Then, Michelle and Katie were working at the house. Patrick decided to give a drink to",4389,32026
36,"Then, Lindsay and James went to the restaurant. James gave a necklace to","Then, Kelly and Jeffrey went to the restaurant. Katie gave a necklace to",62784,41007
8,"Then, Lindsay and Mary were working at the garden. Lindsay decided to give a computer to","Then, Heather and Adam were working at the garden. Jeremy decided to give a computer to",10244,46263
134,"Then, Jessica and Angela had a lot of fun at the garden. Angela gave a drink to","Then, Nathan and Andrew had a lot of fun at the garden. Lauren gave a drink to",32367,13615
895,"When Mark and Angela got a drink at the restaurant, Angela decided to give it to","When Jonathan and Nicole got a drink at the restaurant, Samuel decided to give it to",4389,44030
275,"Then, Jacob and Bradley were thinking about going to the house. Jacob wanted to give a computer to","Then, Mary and Patrick were thinking about going to the house. Jose wanted to give a computer to",36448,10244
467,"Then, Andrew and Michelle had a long argument, and afterwards Andrew said to","Then, Lisa and Stephanie had a long argument, and afterwards Jeremy said to",32026,28556
340,"When Jeffrey and Travis got a basketball at the station, Jeffrey decided to give it to","When Brittany and Shannon got a basketball at the station, Sean decided to give it to",40710,88154
391,"Then, Kevin and Amanda went to the restaurant. Amanda gave a basketball to","Then, Gregory and Daniel went to the restaurant. Vanessa gave a basketball to",16364,15118
59,"Then, Michael and Aaron were working at the restaurant. Aaron decided to give a computer to","Then, Brian and Megan were working at the restaurant. Elizabeth decided to give a computer to",7937,54529
436,"Then, Shannon and Jennifer were working at the hospital. Shannon decided to give a computer to","Then, Bryan and Justin were working at the hospital. Heather decided to give a computer to",29650,36353
440,"Then, Sarah and Tyler went to the house. Tyler gave a snack to","Then, Gregory and Megan went to the house. Brian gave a snack to",20445,54529
566,"Then, Aaron and Kyle were thinking about going to the house. Aaron wanted to give a computer to","Then, Christine and Alexander were thinking about going to the house. Christopher wanted to give a computer to",30259,45893
596,"Then, Michael and Lisa were working at the station. Michael decided to give a drink to","Then, Rebecca and Robert were working at the station. Kevin decided to give a drink to",28556,44457
964,"Then, Kristen and Alexander were working at the office. Kristen decided to give a necklace to","Then, Daniel and Amber were working at the office. Justin decided to give a necklace to",20042,15118
913,"When Kimberly and Amber got a drink at the office, Amber decided to give it to","When Katie and Robert got a drink at the office, Charles decided to give it to",85653,8397
229,"Then, Daniel and Jacob had a lot of fun at the school. Jacob gave a snack to","Then, William and Courtney had a lot of fun at the school. Scott gave a snack to",15118,70682
432,"Then, Amy and Amber had a lot of fun at the house. Amber gave a drink to","Then, Kimberly and Benjamin had a lot of fun at the house. Rachel gave a drink to",28693,29311
914,"Then, Jesse and Michael had a lot of fun at the station. Michael gave a bone to","Then, Jonathan and Angela had a lot of fun at the station. Sarah gave a bone to",39171,37143
