,clean,corrupted,correct_idx,incorrect_idx
35,"When Matthew and Dustin got a kiss at the office, Matthew decided to give it to","When Jeffrey and Paul got a kiss at the office, Jamie decided to give it to",37616,3362
19,"After Gregory and Anthony went to the house, Gregory gave a computer to","After Jeffrey and Rachel went to the house, Katherine gave a computer to",9953,15984
8,"Then, Samuel and Sara were working at the station. Samuel decided to give a basketball to","Then, Amy and Erin were working at the station. Paul decided to give a basketball to",24799,28894
31,"Then, Danielle and Kenneth had a lot of fun at the restaurant. Kenneth gave a snack to","Then, Sara and Samuel had a lot of fun at the restaurant. William gave a snack to",39808,24799
83,"Then, Mark and Jesse had a long argument, and afterwards Jesse said to","Then, Katie and Jeremy had a long argument, and afterwards Jason said to",2940,24721
92,"After Alicia and Erin went to the store, Alicia gave a ring to","After Heather and Alicia went to the store, Kyle gave a ring to",28894,39607
64,"Then, Brandon and Samantha went to the garden. Brandon gave a computer to","Then, Stephen and Heather went to the garden. Dustin gave a computer to",34778,24253
6,"Then, Jonathan and Elizabeth went to the station. Elizabeth gave a kiss to","Then, Tyler and Amber went to the station. Mary gave a kiss to",11232,14886
23,"Then, Rebecca and Matthew were thinking about going to the restaurant. Matthew wanted to give a drink to","Then, Jason and Jason were thinking about going to the restaurant. Rebecca wanted to give a drink to",23489,8982
39,"Then, Jeremy and Thomas had a lot of fun at the hospital. Thomas gave a basketball to","Then, Courtney and Aaron had a lot of fun at the hospital. Jason gave a basketball to",11753,36677
29,"Then, Brittany and Joshua were thinking about going to the store. Brittany wanted to give a drink to","Then, Matthew and Kelly were thinking about going to the store. James wanted to give a drink to",20700,9077
30,"After Nicholas and Steven went to the station, Steven gave a drink to","After Brittany and Michael went to the station, Mark gave a drink to",20320,48773
15,"Then, Erin and James had a lot of fun at the house. Erin gave a computer to","Then, Kevin and Scott had a lot of fun at the house. Timothy gave a computer to",3700,4746
63,"Then, Kimberly and Jonathan had a long argument, and afterwards Jonathan said to","Then, Lisa and Nathan had a long argument, and afterwards Mary said to",48685,15378
32,"When Nicholas and Adam got a ring at the store, Nicholas decided to give it to","When Angela and Ryan got a ring at the store, Ashley decided to give it to",7244,6047
84,"After Sara and Bradley went to the station, Sara gave a bone to","After Christine and Jonathan went to the station, Angela gave a bone to",16182,11232
46,"Then, Scott and Danielle had a lot of fun at the school. Scott gave a basketball to","Then, Christine and Brandon had a lot of fun at the school. Aaron gave a basketball to",39808,14328
7,"Then, Sean and Jonathan had a lot of fun at the house. Jonathan gave a kiss to","Then, Brittany and Scott had a lot of fun at the house. Melissa gave a kiss to",11465,48773
18,"When John and Courtney got a kiss at the house, Courtney decided to give it to","When Jamie and Amber got a kiss at the house, Nicole decided to give it to",1757,17826
26,"Then, Sara and Erin went to the hospital. Sara gave a basketball to","Then, Elizabeth and Dustin went to the hospital. Katie gave a basketball to",28894,37616
59,"Then, William and Danielle went to the store. William gave a bone to","Then, Kelly and Shannon went to the store. Mark gave a bone to",39808,28108
95,"Then, Brittany and Daniel were thinking about going to the restaurant. Daniel wanted to give a computer to","Then, Sarah and Mary were thinking about going to the restaurant. Melissa wanted to give a computer to",48773,10490
9,"Then, Kenneth and Lauren were working at the hospital. Kenneth decided to give a bone to","Then, Mark and Jacob were working at the hospital. Megan decided to give a bone to",25672,12806
70,"Then, Paul and Andrew were thinking about going to the garden. Andrew wanted to give a bone to","Then, James and Christine were thinking about going to the garden. Michael wanted to give a bone to",3362,3700
0,"When Samantha and Michael got a computer at the restaurant, Michael decided to give it to","When Nicole and Daniel got a computer at the restaurant, Andrew decided to give it to",34778,25176
37,"Then, Mary and Ashley had a long argument, and afterwards Ashley said to","Then, Tiffany and Bryan had a long argument, and afterwards Michael said to",5335,40928
79,"Then, Gregory and Ashley had a lot of fun at the station. Ashley gave a necklace to","Then, Tyler and Erin had a lot of fun at the station. Thomas gave a necklace to",20653,14886
81,"Then, Stephanie and Eric had a lot of fun at the office. Stephanie gave a ring to","Then, Crystal and Nicole had a lot of fun at the office. Samuel gave a ring to",7651,25176
66,"Then, Sara and Tyler had a long argument, and afterwards Sara said to","Then, Allison and Erica had a long argument, and afterwards Erin said to",14886,45187
68,"Then, Robert and Jeremy were working at the office. Robert decided to give a computer to","Then, Amber and Cody were working at the office. Eric decided to give a computer to",11753,27035
73,"When Amber and David got a snack at the station, David decided to give it to","When Joshua and Christine got a snack at the station, Amber decided to give it to",21896,20700
33,"After Lindsey and Bryan went to the house, Bryan gave a ring to","After Amanda and Cody went to the house, Christine gave a ring to",30334,23040
60,"Then, Danielle and Stephen were thinking about going to the garden. Danielle wanted to give a basketball to","Then, Amanda and Andrea were thinking about going to the garden. Kimberly wanted to give a basketball to",7970,23174
44,"Then, Amber and Jennifer were thinking about going to the station. Amber wanted to give a bone to","Then, Michelle and Travis were thinking about going to the station. Lisa wanted to give a bone to",16348,19804
28,"Then, Elizabeth and Samuel had a lot of fun at the school. Samuel gave a snack to","Then, Kyle and Angela had a lot of fun at the school. Christina gave a snack to",10674,14316
76,"Then, Lindsey and Jessica had a long argument, and afterwards Lindsey said to","Then, Aaron and Rachel had a long argument, and afterwards Bradley said to",17352,15984
87,"Then, Richard and Christine had a lot of fun at the restaurant. Richard gave a kiss to","Then, Jamie and Anthony had a lot of fun at the restaurant. Christine gave a kiss to",26088,9953
10,"Then, Ashley and Benjamin had a lot of fun at the school. Ashley gave a drink to","Then, Erica and Crystal had a lot of fun at the school. Amber gave a drink to",14533,12969
58,"After James and Elizabeth went to the school, James gave a drink to","After Laura and David went to the school, Erin gave a drink to",10674,3271
1,"Then, Jason and Kimberly were thinking about going to the school. Jason wanted to give a kiss to","Then, Kelly and Stephen were thinking about going to the school. Ashley wanted to give a kiss to",48685,7970
85,"Then, Jason and Jeffrey had a lot of fun at the hospital. Jason gave a bone to","Then, Heather and Jonathan had a lot of fun at the hospital. Kevin gave a bone to",19627,11232
77,"Then, Travis and Amber went to the restaurant. Amber gave a kiss to","Then, Jennifer and Jessica went to the restaurant. Michelle gave a kiss to",19804,16348
13,"Then, Justin and Kristen were working at the office. Justin decided to give a computer to","Then, Amanda and Thomas were working at the office. Nicole decided to give a computer to",44467,5658
24,"Then, Amy and William went to the hospital. Amy gave a ring to","Then, Sarah and Jamie went to the hospital. Bryan gave a ring to",3977,17826
54,"Then, Jeremy and Mark were thinking about going to the store. Jeremy wanted to give a bone to","Then, Amy and Travis were thinking about going to the store. Megan wanted to give a bone to",2940,19804
2,"Then, Nathan and Robert were thinking about going to the restaurant. Robert wanted to give a computer to","Then, Danielle and David were thinking about going to the restaurant. Steven wanted to give a computer to",18106,39808
4,"Then, Melissa and Sarah were thinking about going to the garden. Sarah wanted to give a bone to","Then, Nicholas and Joshua were thinking about going to the garden. Sara wanted to give a bone to",24164,20320
3,"Then, Kyle and Allison went to the hospital. Allison gave a snack to","Then, Christopher and Amber went to the hospital. Dustin gave a snack to",14316,12803
91,"Then, Steven and James had a long argument, and afterwards James said to","Then, Samuel and Christine had a long argument, and afterwards Patrick said to",8239,17100
12,"Then, Jesse and Matthew went to the station. Jesse gave a basketball to","Then, Kyle and Christina went to the station. Kristen gave a basketball to",9308,33673
